kf_id,ts,n_fixed_kf,n_opt_kf,n_mps,n_edges,n_inlier_edges,ratio_inlier_edge,chi2_mean,chi2_std,pix_mean_px,pix_std_px,pix_median_px,pix_p90_px,opt_ms
2,1403715278.81,1,3,0,1857,1857,1,0.309094689628,0.555071979067,0.752846750618,0.808209623058,0.520955622196,1.62529218197,3.244908
3,1403715278.86,1,4,0,2296,2290,0.997386759582,0.40074766971,0.837610333674,0.91503030706,0.915425199244,0.629919826984,1.90854513645,5.226874
4,1403715278.91,1,5,0,3149,3142,0.997777072086,0.414900554441,0.774487127401,0.936972442888,0.912702348098,0.661957859993,1.95049309731,6.452619
5,1403715278.96,1,6,0,3980,3973,0.99824120603,0.427823277633,0.764922906874,0.959892713428,0.931061495502,0.683902442455,2.01907920837,8.137093
6,1403715279.01,1,7,0,4769,4766,0.999370937303,0.444502135716,0.751275032808,0.982804387981,0.956118549817,0.702795803547,1.99120736122,10.468415
7,1403715279.06,1,8,0,5569,5557,0.997845214581,0.469731574884,0.809585551112,0.993656131624,0.963077913464,0.711282968521,2.04546570778,11.257479
8,1403715279.11,1,9,0,6180,6170,0.998381877023,0.486878454701,0.830972960078,1.01427510819,0.969849393884,0.724559128284,2.08044886589,12.064298
9,1403715279.21,1,10,0,6791,6773,0.997349433073,0.516225804107,0.862946035503,1.04810479718,1.00035065584,0.750124692917,2.14723229408,12.694933
10,1403715279.26,1,11,0,7383,7359,0.996749288907,0.53033431178,0.925675336302,1.05425507719,0.99249287624,0.757741630077,2.13869047165,12.190466
11,1403715279.31,1,11,0,7378,7362,0.997831390621,0.508648675718,0.823342663505,1.04838510757,0.978089724543,0.760859310627,2.12597250938,14.154928
12,1403715279.41,1,11,0,7352,7342,0.998639825898,0.512400409032,0.824535977994,1.05834785833,0.986602754589,0.766805112362,2.14495563507,15.846457
13,1403715279.46,1,11,0,7265,7249,0.997797660014,0.52408764142,0.864188654353,1.06560465357,0.993085303111,0.772140741348,2.16385340691,13.337425
14,1403715279.56,1,11,0,7213,7199,0.998059060031,0.532973907823,0.866781742402,1.07772994585,1.01792236847,0.777452886105,2.20838022232,13.261192
15,1403715279.66,1,11,0,7092,7072,0.997179921038,0.552079444913,1.0692712126,1.07724135857,1.00674142303,0.78119879961,2.19035744667,11.692007
16,1403715279.71,1,11,0,7099,7080,0.9973235667,0.547610360019,0.999536712354,1.06780657666,1.00323493189,0.773454189301,2.17245721817,13.731234
17,1403715279.81,1,11,0,7122,7095,0.996208930076,0.561553845746,0.994016608307,1.0773307916,1.00225848123,0.781282305717,2.19081807137,12.771727
18,1403715279.86,1,12,0,7756,7739,0.99780814853,0.55271050334,0.980802156716,1.0813747567,1.01144788643,0.785472810268,2.2067759037,13.586113
