frame_id,ts,state,n_kps,n_map_pts,n_inliers,n_lost_kps,reproj_mean_px,reproj_std_px,reproj_median_px,n_reproj,obs_per_mp,n_local_mps,n_local_kfs,is_kf,n_global_kfs,n_global_mps,image_name
0,1413393212.26,1,1615,0,0,1615,0,0,0,0,0,0,0,0,0,0,
1,1413393212.31,1,1516,0,0,1516,0,0,0,0,0,0,0,0,0,0,
2,1413393212.36,1,1542,0,0,1542,0,0,0,0,0,0,0,0,0,0,
3,1413393212.41,1,1509,0,0,1509,0,0,0,0,0,0,0,0,0,0,
4,1413393212.46,1,1565,0,0,1565,0,0,0,0,0,0,0,0,0,0,
5,1413393212.51,1,1533,0,0,1533,0,0,0,0,0,0,0,0,0,0,
6,1413393212.56,1,1573,0,0,1573,0,0,0,0,0,0,0,0,0,0,
7,1413393212.61,1,1527,0,0,1527,0,0,0,0,0,0,0,0,0,0,
8,1413393212.66,1,1541,0,0,1541,0,0,0,0,0,0,0,0,0,0,
9,1413393212.71,1,1543,0,0,1543,0,0,0,0,0,0,0,0,0,0,
10,1413393212.76,1,1530,0,0,1530,0,0,0,0,0,0,0,0,0,0,
11,1413393212.81,1,1543,0,0,1543,0,0,0,0,0,0,0,0,0,0,
12,1413393212.86,1,1532,0,0,1532,0,0,0,0,0,0,0,0,0,0,
13,1413393212.91,1,1546,0,0,1546,0,0,0,0,0,0,0,0,0,0,
14,1413393212.96,1,1490,0,0,1490,0,0,0,0,0,0,0,0,0,0,
15,1413393213.01,1,1523,0,0,1523,0,0,0,0,0,0,0,0,0,0,
16,1413393213.06,1,1552,0,0,1552,0,0,0,0,0,0,0,0,0,0,
17,1413393213.11,1,1530,0,0,1530,0,0,0,0,0,0,0,0,0,0,
18,1413393213.16,1,1513,0,0,1513,0,0,0,0,0,0,0,0,0,0,
19,1413393213.21,1,1535,0,0,1535,0,0,0,0,0,0,0,0,0,0,
20,1413393213.26,1,1530,0,0,1530,0,0,0,0,0,0,0,0,0,0,
21,1413393213.31,1,1529,0,0,1529,0,0,0,0,0,0,0,0,0,0,
22,1413393213.36,1,1539,0,0,1539,0,0,0,0,0,0,0,0,0,0,
23,1413393213.41,1,1534,0,0,1534,0,0,0,0,0,0,0,0,0,0,
24,1413393213.46,1,1523,0,0,1523,0,0,0,0,0,0,0,0,0,0,
25,1413393213.51,1,1535,0,0,1535,0,0,0,0,0,0,0,0,0,0,
26,1413393213.56,1,1531,0,0,1531,0,0,0,0,0,0,0,0,0,0,
27,1413393213.61,1,1532,0,0,1532,0,0,0,0,0,0,0,0,0,0,
28,1413393213.66,1,1524,0,0,1524,0,0,0,0,0,0,0,0,0,0,
29,1413393213.71,1,1528,0,0,1528,0,0,0,0,0,0,0,0,0,0,
30,1413393213.76,1,1547,0,0,1547,0,0,0,0,0,0,0,0,0,0,
31,1413393213.81,1,1510,0,0,1510,0,0,0,0,0,0,0,0,0,0,
32,1413393213.86,1,1538,0,0,1538,0,0,0,0,0,0,0,0,0,0,
33,1413393213.91,1,1552,0,0,1552,0,0,0,0,0,0,0,0,0,0,
34,1413393213.96,1,1535,0,0,1535,0,0,0,0,0,0,0,0,0,0,
35,1413393214.01,1,1528,0,0,1528,0,0,0,0,0,0,0,0,0,0,
36,1413393214.06,1,1572,0,0,1572,0,0,0,0,0,0,0,0,0,0,
37,1413393214.11,1,1547,0,0,1547,0,0,0,0,0,0,0,0,0,0,
38,1413393214.16,1,1562,0,0,1562,0,0,0,0,0,0,0,0,0,0,
39,1413393214.21,1,1542,0,0,1542,0,0,0,0,0,0,0,0,0,0,
40,1413393214.26,1,1557,0,0,1557,0,0,0,0,0,0,0,0,0,0,
41,1413393214.31,1,1542,0,0,1542,0,0,0,0,0,0,0,0,0,0,
42,1413393214.36,1,1538,0,0,1538,0,0,0,0,0,0,0,0,0,0,
43,1413393214.41,1,1538,0,0,1538,0,0,0,0,0,0,0,0,0,0,
44,1413393214.46,1,1538,0,0,1538,0,0,0,0,0,0,0,0,0,0,
45,1413393214.51,1,1551,0,0,1551,0,0,0,0,0,0,0,0,0,0,
46,1413393214.56,1,1515,0,0,1515,0,0,0,0,0,0,0,0,0,0,
47,1413393214.61,1,1541,0,0,1541,0,0,0,0,0,0,0,0,0,0,
48,1413393214.66,1,1545,0,0,1545,0,0,0,0,0,0,0,0,0,0,
49,1413393214.71,1,1523,0,0,1523,0,0,0,0,0,0,0,0,0,0,
50,1413393214.76,1,1548,0,0,1548,0,0,0,0,0,0,0,0,0,0,
51,1413393214.81,1,1573,0,0,1573,0,0,0,0,0,0,0,0,0,0,
